topic_id,category,topic_raw,instruction,topic_content,topic_type,constraints,expected_anchors,topic_keyphrases
1,Personal,Describe a memorable childhood experience,describe,a memorable childhood experience,experience,past,time|place|who|what_happened|reflection,memorable childhood experience|childhood experience|memorable childhood|experience|memorable|childhood
2,Personal,Talk about a book that changed your perspective,talk about,a book that changed your perspective,opinion,,position|reason_1|reason_2|example,changed your perspective|book that changed|perspective|book|changed
3,Technology,Explain a new gadget you recently used,explain,a new gadget you recently used,explain,recent,definition|how_it_works|example|impact,gadget you recently|gadget|recently
4,Technology,Discuss the future of renewable energy,discuss,the future of renewable energy,general,,main_point|supporting_points|example,renewable energy|future of renewable|energy|future|renewable
5,Culture,Describe a local festival in your hometown,describe,a local festival in your hometown,general,,main_point|supporting_points|example,local festival|hometown|local|festival
6,Business,Should companies prioritize profit over ethics?,should,companies prioritize profit over ethics?,general,,main_point|supporting_points|example,companies prioritize profit|companies prioritize|profit over ethics|prioritize profit|companies|ethics|prioritize|profit
7,Personal,Talk about a hobby you want to pick up,talk about,a hobby you want to pick up,general,,main_point|supporting_points|example,hobby|pick
8,Travel,Share your dream vacation destination,share,your dream vacation destination,general,,main_point|supporting_points|example,dream vacation destination|vacation destination|dream vacation|destination|dream|vacation
9,Environment,How to reduce water consumption at home,how,to reduce water consumption at home,advice,,steps|example|why_it_works,reduce water consumption|consumption at home|reduce water|water consumption|home|reduce|water|consumption
10,Health & Fitness,Benefits of regular exercise,benefits,of regular exercise,general,,main_point|supporting_points|example,regular exercise|exercise|regular
11,Science,Explain the significance of a famous scientific experiment,explain,the significance of a famous scientific experiment,explain,,definition|how_it_works|example|impact,famous scientific experiment|scientific experiment|famous scientific|experiment|significance|famous|scientific
12,Social Issues,Discuss a social movement you support,discuss,a social movement you support,general,,main_point|supporting_points|example,movement you support|social movement|support|social|movement
13,Entertainment,Talk about a documentary you recently watched,talk about,a documentary you recently watched,general,recent,main_point|supporting_points|example,recently watched|documentary you recently|watched|documentary|recently
14,History,Describe the impact of a revolution in history,describe,the impact of a revolution in history,general,,main_point|supporting_points|example,revolution in history|history|impact|revolution
15,Food,Share a recipe for a traditional dish,share,a recipe for a traditional dish,general,,main_point|supporting_points|example,traditional dish|dish|recipe|traditional
16,Sports,Discuss a sport that inspires teamwork,discuss,a sport that inspires teamwork,general,,main_point|supporting_points|example,inspires teamwork|sport that inspires|teamwork|sport|inspires
17,Motivation,Talk about a quote that motivates you daily,talk about,a quote that motivates you daily,general,,main_point|supporting_points|example,motivates you daily|quote that motivates|daily|quote|motivates
18,Relationships,Describe a mentor or teacher who influenced you,describe,a mentor or teacher who influenced you,general,school,main_point|supporting_points|example,mentor or teacher|teacher who influenced|mentor|teacher|influenced
19,Art & Literature,Share a painting or sculpture that moved you,share,a painting or sculpture that moved you,general,,main_point|supporting_points|example,painting or sculpture|sculpture that moved|painting|sculpture|moved
20,Current Affairs,Discuss a recent political event in your country,discuss,a recent political event in your country,event,recent,time|place|what_happened|your_view,recent political event|recent political|political event|country|recent|political|event
21,Education,Explain the benefits of learning a new language,explain,the benefits of learning a new language,explain,,definition|how_it_works|example|impact,benefits of learning|language|benefits|learning
22,Personal,Talk about a life lesson you recently learned,talk about,a life lesson you recently learned,general,recent,main_point|supporting_points|example,recently learned|life lesson|lesson you recently|learned|life|lesson|recently
23,Lifestyle,Describe a place you feel most relaxed,describe,a place you feel most relaxed,general,,main_point|supporting_points|example,feel most relaxed|place you feel|relaxed|place|feel
24,Technology,Discuss the role of AI in healthcare,discuss,the role of AI in healthcare,general,,main_point|supporting_points|example,healthcare|role
25,Environment,Explain the environmental impact of fast fashion,explain,the environmental impact of fast fashion,explain,,definition|how_it_works|example|impact,fast fashion|environmental impact|impact of fast|fashion|environmental|impact|fast
26,Health & Fitness,Share tips for maintaining mental health,share tips for,maintaining mental health,advice,,steps|example|why_it_works,maintaining mental health|maintaining mental|mental health|maintaining|health|mental
27,History,Talk about a historical figure you admire,talk about,a historical figure you admire,general,,main_point|supporting_points|example,figure you admire|historical figure|admire|historical|figure
28,Business,Describe an innovative business idea,describe,an innovative business idea,general,,main_point|supporting_points|example,innovative business idea|business idea|innovative business|idea|innovative|business
29,Culture,Discuss a cultural tradition that fascinates you,discuss,a cultural tradition that fascinates you,general,,main_point|supporting_points|example,cultural tradition|tradition that fascinates|cultural|tradition|fascinates
30,Entertainment,Share your favorite music genre and why,share,your favorite music genre and why,explain,,definition|how_it_works|example|impact,favorite music genre|favorite music|music genre|favorite|music|genre
